Model,Probability_Threshold,Number_of_Selected_Events,Selection_Rate,Average_Forward_5D_Return,Average_Edge_vs_Benchmark_5D,Win_Rate,Beat_Benchmark_Rate
Logistic Regression,0.5,11867,0.9274716686205549,0.0032602169158857264,0.0005648053559278743,0.5581865677930395,0.5361085362770709
Logistic Regression,0.55,10494,0.8201641266119578,0.0028934156184329753,8.057025631485935e-05,0.5554602630074328,0.532971221650467
Logistic Regression,0.6,7832,0.6121141070730755,0.003138079491553908,0.00020624721225219833,0.5603932584269663,0.5367722165474974
Logistic Regression,0.65,4796,0.3748339194998046,0.002390893887273933,-0.000565881283368774,0.5437864887406172,0.5206422018348624
Logistic Regression,0.7,2238,0.17491207502930833,0.004457231178160955,0.0016505584304575302,0.5527256478999106,0.5370866845397676
Random Forest,0.5,9810,0.7667057444314185,0.0030881041601692302,0.0004791234075380999,0.5546381243628951,0.5331294597349643
Random Forest,0.55,8324,0.6505666275889019,0.003551903448751005,0.0009037754196632162,0.5561028351753965,0.5333974050937049
Random Forest,0.6,6488,0.507073075420086,0.0034180624619257797,0.0007053910648516528,0.5519420468557337,0.530826140567201
Random Forest,0.65,4656,0.3638921453692849,0.00327093736367242,0.0005034446663061131,0.5504725085910653,0.530713058419244
Random Forest,0.7,3323,0.25971082454083627,0.0023459603163642996,-0.0005462726383442118,0.5446885344568161,0.5266325609389106
